15,29,4.85,0.80
30,59,4.94,0.91
60,89,5.23,1.06
90,179,5.81,1.44
180,269,8.83,2.21
270,359,8.69,2.26
360,719,8.69,2.40
720,1079,8.69,2.40
1080,1439,8.69,2.40
1440,1799,8.69,2.40
1800,18001,8.69,2.40
